episode,reward,length,success,epsilon,replay_size,avg_reward,avg_length,success_rate,avg_loss
240,-1194.0999999999988,148,True,0.6985355937477907,35395,-1682.8360000000011,129.82,59.0,90.46574501037598
241,-145.50000000000009,24,True,0.6974877903571691,35419,-1681.4330000000014,129.62,59.0,95.71213653564453
242,-106.90000000000002,26,True,0.6964415586716334,35445,-1677.4465000000012,129.23,59.0,90.43268394470215
243,-2250.6000000000013,200,False,0.695396896333626,35645,-1697.9300000000012,130.96,57.99999999999999,92.1390958404541
244,-3521.300000000005,200,False,0.6943538009891256,35845,-1702.1560000000013,130.96,57.99999999999999,89.322450466156
245,-2116.500000000001,152,True,0.693312270287642,35997,-1714.1730000000014,131.22,57.99999999999999,83.66329627990723
246,-1510.5999999999988,200,False,0.6922723018822106,36197,-1726.4040000000014,132.84,56.99999999999999,87.29216411590576
247,-790.3499999999989,101,True,0.6912338934293872,36298,-1734.4785000000015,133.79,56.99999999999999,92.47655855178833
248,-1063.0999999999988,96,True,0.6901970425892432,36394,-1741.2910000000013,134.08,56.99999999999999,81.53914838790894
249,-990.9999999999984,104,True,0.6891617470253594,36498,-1716.2890000000011,133.12,57.99999999999999,87.48537109375
